-,Сумма,Адмиралтейский,Василеостровский,Кировский,Красногвардейский,Невский,Красносельский,Петродворцовый,Приморский,Выборгский,Калининский,Курортный,Кронштадский,Центральный,Петроградский,Московский,Пушкинский,Колпинский,Фрунзенский,Цифровые избирательные участки
"Число избирателей, внесенных в список избирателей на момент окончания голосования",3814877,105510,147015,147651,138569,126000,127787,84723,175819,137381,146526,47955,35191,67326,94434,89318,153988,142586,162685,535
"Число избирательных бюллетеней, полученных участковой избирательной комиссией",3230784,83250,134200,119741,105200,99450,112255,65630,147450,118500,124050,40450,27750,56200,67559,72800,127072,126350,147500,402
"Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования",1103056,31626,44897,42452,38572,32796,32123,29626,46640,42458,40926,17519,13329,20334,47349,21522,50143,40477,44832,402
"Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",43989,1592,1836,742,1642,788,1440,909,1226,2172,746,1506,752,1279,1314,622,1875,1070,5227,0
Число погашенных избирательных бюллетеней,2083724,50032,87467,76547,64986,65866,78692,35095,99582,73865,82378,21424,13669,34587,18896,50656,75054,84803,97441,0
"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования",43883,1590,1831,728,1636,787,1440,909,1226,2172,746,1506,752,1277,1314,622,1875,1043,5212,0
"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",1096726,31437,44713,41990,38353,32645,32077,29596,46513,42302,40590,17506,13327,20244,46600,21492,50033,40425,44275,400
Число недействительных избирательных бюллетеней,30795,1220,1355,1079,1032,789,985,1110,1006,1214,1146,556,394,682,1076,688,1558,947,1693,3
Число действительных избирательных бюллетеней,1109814,31807,45189,41639,38957,32643,32532,29395,46733,43260,40190,18456,13685,20839,46838,21426,50350,40521,47794,397
Число утраченных избирательных бюллетеней,30,0,0,0,0,0,0,0,2,10,1,1,0,0,0,0,0,0,0,0
"Число избирательных бюллетеней, не учтенных при получении",15,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
Количество участковых комиссий на районе,2022,61,93,71,75,71,69,45,88,78,71,37,30,50,55,48,75,74,77,1
Явка избирателей,29.9,31.3,31.66,28.93,28.86,26.53,26.23,36.01,27.15,32.37,28.21,39.65,40.01,31.97,50.74,24.76,33.71,29.08,30.42,74.77
,,,,,,,,,,,,,,,,,,,,
Амосов Михаил Иванович,182797 16.03%,6206 18.79%,10177 21.87%,6380 14.94%,5608 14.02%,4252 12.72%,4978 14.85%,4156 13.62%,7750 16.23%,8526 19.17%,8109 19.62%,2597 13.66%,1718 12.20%,4644 21.58%,5753 12.01%,4111 18.59%,7061 13.60%,4300 10.37%,6424 12.98%,194 48.50%
Беглов Александр Дмитриевич,734903 64.43%,19818 60.01%,26213 56.32%,28405 66.49%,25665 64.18%,23750 71.04%,21077 62.88%,20635 67.64%,30515 63.92%,27667 62.21%,24382 58.98%,13274 69.82%,9780 69.47%,12315 57.22%,36632 76.45%,13463 60.88%,33241 64.04%,30393 73.29%,32701 66.08%,82 20.50%
Тихонова Надежда Геннадьевна,192114 16.84%,5783 17.51%,8799 18.90%,6854 16.04%,7684 19.22%,4641 13.88%,6477 19.32%,4604 15.09%,8468 17.74%,7067 15.89%,7699 18.63%,2585 13.60%,2187 15.53%,3880 18.03%,4453 9.29%,3852 17.42%,10048 19.36%,5828 14.05%,8669 17.52%,121 30.25%
